id,metanetx_id,name,id_kegg,name_kegg
1agpg180,MNXM6607,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),,
1agpg181,MNXM73868,1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),,
1btol,MNXM3230,1-Butanol,C06142,1-Butanol|Butan-1-ol|Butyl alcohol (NF)|n-Butanol
1ddecg3p,MNXM4232,1-dodecanoyl-sn-glycerol 3-phosphate,,
1glyc_cho,MNXM164013,1 acyl phosphoglycerol,,
1glyc_hs,MNXM13807,1glyc hs,,
1hdec9eg3p,MNXM91047,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,,
1hdecg3p,MNXM90586,1-hexadecanoyl-sn-glycerol 3-phosphate,,
1mncam,MNXM2172,1 Methylnicotinamide,C02918,1-Methylnicotinamide|N(1)-Methylnicotinamide
1mpyr,MNXM1615,1mpyr,C06178,1-Methyl-Delta(1)-pyrrolinium|1-Methylpyrrolinium
1msg3p,MNXM91355,1-Acyl-sn-glycerol 3-phosphate (branched C19:0),,
1odec11eg3p,MNXM91049,1-octadec-11-enoyl-sn-glycerol 3-phosphate,,
1odec691215eg3p,MNXM147680,1-octadec-6-9-12-15-tetraenoyl-sn-glycerol 3-phosphate,,
1odec6912eg3p,MNXM147681,1-octadec-6-9-12trienoyl-sn-glycerol 3-phosphate,,
1odec91215eg3p,MNXM147682,1-octadec-9-12-15-trienoyl-sn-glycerol 3-phosphate,,
1odec912eg3p,MNXM147683,1-octadec-9-12-dienoyl-sn-glycerol 3-phosphate,,
1odec9eg3p,MNXM145555,1-octadec-9-enoyl-sn-glycerol 3-phosphate,,
1odecg3p,MNXM32950,1-octadecanoyl-sn-glycerol 3-phosphate,,
1p2cbxl,MNXM165560,1p2cbxl,,
1p3h5c,MNXM114091,L 1 Pyrroline 3 hydroxy 5 carboxylate,C04281,"(3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate|3-Hydroxy-L-1-pyrroline-5-carboxylate|L-1-Pyrroline-3-hydroxy-5-carboxylate"
1pipdn2c,MNXM911,Delta1-Piperideine-2-carboxylate,C04092,"1,2-Didehydropiperidine-2-carboxylate|1-Piperideine-2-carboxylate|Delta1-Piperideine-2-carboxylate"
1pyr5c,MNXM1617,1-Pyrroline-5-carboxylate,C04322,"3,4-Dihydro-2H-Pyrrole-2-carboxylate|Delta1-Pyrroline-5-carboxylate"
1tdec7eg3p,MNXM91053,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,,
1tdecg3p,MNXM3426,1-tetradecanoyl-sn-glycerol 3-phosphate,,
20ahchsterol,MNXM164166,20ahchsterol,,
23camp,MNXM2598,"2',3'-Cyclic AMP",C02353,"2',3'-Cyclic AMP"
23ccmp,MNXM3148,"2',3'-Cyclic CMP",C02354,"2',3'-Cyclic CMP"
23cgmp,MNXM3149,"2',3'-Cyclic GMP",C06194,"2',3'-Cyclic GMP"
23cump,MNXM3150,"2',3'-Cyclic UMP",C02355,"2',3'-Cyclic UMP"
23dappa,MNXM722756,"2,3-diaminopropionate",C06393,"2,3-Diaminopropanoate|2,3-Diaminopropanoic acid|2,3-Diaminopropionate|2,3-Diaminopropionic acid"
23ddhb,MNXM114261,"2,3-Dihydro-2,3-dihydroxybenzoate",C04171,"(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate|(2S,3S)-2,3-Dihydroxy-2,3-dihydroxybenzoate"
23dhacoa,MNXM9750,"2,3-dehydroadipyl-CoA",,
23dhb,MNXM455,"2,3-Dihydroxybenzoate",C00196,"2,3-Dihydroxybenzoate|2,3-Dihydroxybenzoic acid"
23dhba,MNXM1978,"(2,3-Dihydroxybenzoyl)adenylate",C04030,"(2,3-Dihydroxybenzoyl)adenylate"
23dhbzs,MNXM1487,"2,3-dihydroxybenzoylserine",C04204,"2,3-Dihydroxy-N-benzoyl-L-serine|2,3-Dihydroxybenzoylserine|N-(2,3-Dihydroxybenzoyl)-L-serine"
23dhbzs2,MNXM147716,2-3-dihydroxybenzoylserine dimer,,
23dhbzs3,MNXM145882,2-3-dihydroxybenzoylserine trimer,,
23dhdp,MNXM163139,"2,3-Dihydrodipicolinate",,
23dhmb,MNXM114097,"(R)-2,3-Dihydroxy-3-methylbutanoate",C04272,"(2R)-2,3-Dihydroxy-3-methylbutanoate|(R)-2,3-Dihydroxy-3-methylbutanoate|(R)-2,3-Dihydroxy-isovalerate|(R)-2,3-Dihydroxy-isovaleric acid"
23dhmp,MNXM1202,"(R)-2,3-Dihydroxy-3-methylpentanoate",C06007,"(2R,3R)-2,3-Dihydroxy-3-methylpentanoate|(R)-2,3-Dihydroxy-3-methylpentanoate|(R)-2,3-Dihydroxy-3-methylvalerate"
23dmphol,MNXM4266,"2,3-Dimethyl-5-phytylquinol",C15883,"2,3-Dimethyl-5-phytyl-1,4-hydroquinone|2,3-Dimethyl-5-phytylquinol|2,3-Dimethyl-6-phytylbenzene-1,4-diol"
23doguln,MNXM958,"2,3-Dioxo-L-gulonate",C04575,"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate|2,3-Diketo-L-gulonate"
23dpg,MNXM892,2 3 Disphospho D glycerate,C01159,"2,3-Bisphospho-D-glycerate|2,3-Disphospho-D-glycerate|D-Greenwald ester|DPG"
2425dhvitd2,MNXM6764,2425dhvitd2,,
2425dhvitd3,MNXM6763,2425dhvitd3,,
24dab,MNXM840,"L-2,4-Diaminobutanoate",C03283,"L-2,4-Diaminobutanoate|L-2,4-Diaminobutyrate|alpha,gamma-Diaminobutyrate"
24dhhed,MNXM722757,"2,4-Dihydroxyhept-2-enedioate",C06201,"2,4-Dihydroxyhept-2-1,7-dioate|2,4-Dihydroxyhept-2-enedioate|2,4-Dihydroxyhept-2-enedioic acid"
24nph,MNXM9757,24nph,,
25aics,MNXM607,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C04823,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate|1-(5'-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole|1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole|5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole|SAICAR
25dhpp,MNXM90906,2 5 Diamino 6 hydroxy 4 5 phosphoribosylamino pyrimidine,,
25dkglcn,MNXM936,"2,5-diketo-D-gluconate",C02780,"2,5-Didehydro-D-gluconate|2,5-Diketogluconic acid"
25dop,MNXM165561,2 5 Dioxopentanoate,,
25drapp,MNXM648,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",C01304,"2,5-Diamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate|2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one"
25dthpp,MNXM90774,2 5 diamino 6 ribitylamino 4 3H pyrimidinone 5 phosphate,,
25hvitd2,MNXM4976,25hvitd2,,
25hvitd3,MNXM162388,25hvitd3,,
26dap_LL,MNXM644,"LL-2,6-Diaminoheptanedioate",C00666,"LL-2,6-Diaminoheptanedioate|LL-2,6-Diaminopimelate|LL-2,6-Diaminopimelic acid"
26dap__M,MNXM529,"Meso-2,6-Diaminoheptanedioate",C00680,"meso-2,6-Diaminoheptanedioate|meso-2,6-Diaminopimelate|meso-2,6-Diaminopimelic acid|meso-Diaminoheptanedioate"
26dapime,MNXM164994,N6 Acetyl LL 2 6 diaminopimelate,,
26dmani,MNXM2917,"2,6-Dimethylaniline",C11004,"2,6-DMA|2,6-Dimethylaniline|2,6-Xylidine"
2a3pp,MNXM5455,2-Amino-3-phosphonopropanoate,C05672,2-Amino-3-phosphonopropanoate|Phosphonoalanine
2agpe120,MNXM34808,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),,
2agpe140,MNXM34809,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),,
2agpe141,MNXM3447,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),,
2agpe160,MNXM34810,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),,
2agpe161,MNXM3448,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),,
2agpe180,MNXM34811,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),,
2agpe181,MNXM3449,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),,
2agpg120,MNXM3450,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),,
2agpg140,MNXM34739,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),,
2agpg141,MNXM3452,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),,
2agpg160,MNXM34740,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),,
2agpg161,MNXM3453,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),,
2agpg180,MNXM150642,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),,
2agpg181,MNXM3455,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1),,
2ahbut,MNXM114220,(S)-2-Aceto-2-hydroxybutanoate,C06006,(S)-2-Aceto-2-hydroxybutanoate|(S)-2-Hydroxy-2-ethyl-3-oxobutanoate
2ahethmpp,MNXM1705,2-(alpha-Hydroxyethyl)thiamine diphosphate,C05125,2-(alpha-Hydroxyethyl)thiamine diphosphate|2-Hydroxyethyl-ThPP
2ahhmd,MNXM91459,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine diphosphate,,
2ahhmp,MNXM146055,2 Amino 4 hydroxy 6 hydroxymethyl 7 8 dihydropteridine,,
2amac,MNXM3414,2amac,C02218,2-Aminoacrylate|2-Aminoprop-2-enoate|Dehydroalanine
2ameph,MNXM1692,2-Aminoethylphosphonate,C03557,(2-Aminoethyl)phosphonate|2-Aminoethylphosphonate|Ciliatine
2amsa,MNXM2124,2-Aminomalonate semialdehyde,C11822,2-Aminomalonate semialdehyde|2-Ammoniomalonate semialdehyde
2aobut,MNXM114087,L-2-Amino-3-oxobutanoate,C03508,(S)-2-Amino-3-oxobutanoic acid|L-2-Amino-3-oxobutanoate|L-2-Amino-3-oxobutanoic acid|L-2-Amino-acetoacetate
2c23dh56dhoxin,MNXM163662,2c23dh56dhoxin,,
2coum,MNXM3237,Cis-2-Hydroxy cinnamate,C05838,2-Coumarinate|cis-2-Hydroxycinnamate
2cpr5p,MNXM1455,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C01302,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
2d5kg,MNXM147758,2d5kg,,
2dda7p,MNXM1219,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,C04691,2-Dahp|2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate|3-Deoxy-D-arabino-hept-2-ulosonate 7-phosphate|3-Deoxy-D-arabino-heptulosonic acid 7-phosphate|3-Deoxy-arabino-heptulonate 7-phosphate|DAHP
2ddecg3p,MNXM5461,2-dodecanoyl-sn-glycerol 3-phosphate,,
2ddg6p,MNXM649,2-Dehydro-3-deoxy-D-gluconate 6-phosphate,C04442,2-Dehydro-3-deoxy-6-phospho-D-gluconate|2-Dehydro-3-deoxy-D-gluconate 6-phosphate|2-Keto-3-deoxy-6-phosphogluconate|6-Phospho-2-dehydro-3-deoxy-D-gluconate
2ddglcn,MNXM440,2-Dehydro-3-deoxy-D-gluconate,C00204,2-Dehydro-3-deoxy-D-gluconate|2-Keto-3-deoxy-D-gluconate
2dglc,MNXM2925,2 Deoxy D glucose,C00586,2-Deoxy-D-arabino-hexose|2-Deoxy-D-glucose|D-arabino-2-Deoxyhexose
2dglcn,MNXM3460,2-Deoxy-D-gluconate,C02782,2-Deoxy-D-gluconate
2dh3dgal,MNXM1627,2-Dehydro-3-deoxy-D-galactonate,C01216,2-Dehydro-3-deoxy-D-galactonate
2dh3dgal6p,MNXM90136,2-Dehydro-3-deoxy-D-galactonate 6-phosphate,C01286,2-Dehydro-3-deoxy-6-phospho-D-galactonate|2-Dehydro-3-deoxy-D-galactonate 6-phosphate
2dhglcn,MNXM582,2-Dehydro-D-gluconate,C06473,2-Dehydro-D-gluconate|2-Dehydro-D-gluconic acid|2-Keto-D-gluconic acid|alpha-D-arabino-2-Hexulosonic acid
2dhguln,MNXM114283,2-Dehydro-L-gulonate,,
2dhp,MNXM959,2-Dehydropantoate,C00966,2-Dehydropantoate
2dhphaccoa,MNXM6576,"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA",,
2dmmq6,MNXM6065,2-Demethylmenaquinone 6,,
2dmmq7,MNXM164125,2 Demethylmenaquinone 7,,
2dmmq8,MNXM2178,2-Demethylmenaquinone 8,,
2dmmql8,MNXM558,2-Demethylmenaquinol 8,,
2doxg6p,MNXM3809,2 Deoxy D glucose 6 phosphate,C06369,2-Deoxy-D-glucose 6-phosphate
2dp6mep,MNXM91882,2dp6mep,,
2dp6mobq,MNXM9806,2dp6mobq,,
2dp6mobq_me,MNXM9803,2dp6mobq me,,
2dpmhobq,MNXM9802,2dpmhobq,,
2dr1p,MNXM1063,2-Deoxy-D-ribose 1-phosphate,C00672,2-Deoxy-D-ribose 1-phosphate|2-Deoxy-alpha-D-ribose 1-phosphate
2dr5p,MNXM2179,2-Deoxy-D-ribose 5-phosphate,C00673,2-Deoxy-D-ribose 5-phosphate
2fe1s,MNXM147395,[2Fe-1S] desulfurated iron-sulfur cluster,,
2fe2s,MNXM151647,[2Fe-2S] iron-sulfur cluster,,
2h34hppr,MNXM114441,2-Hydroxy-3-(4-hydroxyphenyl)propenoate,C05350,2-Hydroxy-3-(4-hydroxyphenyl)propenoate|4-Hydroxy-enol-phenylpyruvate
2h3k5m,MNXM409,2 hydroxy 3 keto 5 methylthiopentenyl 1 phosphate,C15651,2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate|2-Hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate
2h3opp,MNXM475,2 Hydroxy 3 oxopropanoate,C01146,2-Hydroxy-3-oxopropanoate|Tartronate semialdehyde
2h3oppan,MNXM475,2-Hydroxy-3-oxopropanoate,C01146,2-Hydroxy-3-oxopropanoate|Tartronate semialdehyde
2hb,MNXM4968,2 Hydroxybutyrate,,
2hbut,MNXM4968,2 Hydroxybutyrate,,
2hchd,MNXM145883,"2-Hydroxy-cis-hex-2,4-dienoate",C11354,"2-Hydroxy-cis-hex-2,4-dienoate"
2hdec9eg3p,MNXM5464,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,,
2hdecg3p,MNXM5465,2-hexadecanoyl-sn-glycerol 3-phosphate,,
2hh24dd,MNXM146251,2-Hydroxyhepta-2-4-dienedioate,,
2hhxdal,MNXM35167,2 Hydroxy hexadecanal,,
2hmc,MNXM162276,2-Hydroxymuconate,C02501,2-Hydroxymuconate
2hmcnsad,MNXM1102,2-Hydroxymuconate semialdehyde,C00682,2-Hydroxymuconate semialdehyde|2-Hydroxymuconate-6-semialdehyde|2-Hydroxymuconic semialdehyde
2hog,MNXM1210,2-Hydroxyglutarate,C02630,2-Hydroxyglutarate|alpha-Hydroxyglutarate
2hp6mbq,MNXM147698,2 Hexaprenyl 6 methoxy 1 4 benzoquinone,,
2hp6mp,MNXM4291,2 Hexaprenyl 6 methoxyphenol,C05802,2-Hexaprenyl-6-methoxyphenol
2hphaccoa,MNXM148614,2 Hydroxyphenylacetyl CoA,,
2hpmhmbq,MNXM147696,2 hexaprenyl 3 methyl 5 hydroxy 6 methoxy 1 4 benzoquinone,,
2hpmmbq,MNXM147697,2 hexaprenyl 3 methyl 6 methoxy 1 4 benzoquinone,,
2hxmp,MNXM1855,2 Hydroxymethyl phenol,C02323,2-(Hydroxymethyl)phenol|2-Hydroxybenzyl alcohol|Salicyl alcohol|Salicyl alcohol (USAN)|Saligenin
2hymeph,MNXM1855,2-(Hydroxymethyl)phenol,C02323,2-(Hydroxymethyl)phenol|2-Hydroxybenzyl alcohol|Salicyl alcohol|Salicyl alcohol (USAN)|Saligenin
2hyoxplac,MNXM2160,2-Hydroxyphenylacetate,C05852,2-Hydroxyphenylacetate|2-Hydroxyphenylacetic acid
2ins,MNXM676,2-Inosose,C00691,"2,4,6/3,5-Pentahydroxycyclohexanone|2-Inosose|scyllo-Inosose"
2ippm,MNXM1706,2-Isopropylmaleate,C02631,2-Isopropylmaleate|beta-Isopropylmaleate
2kmb,MNXM276,2-keto-4-methylthiobutyrate,C01180,2-Keto-4-methylthiobutyric acid|2-Oxo-4-methylthiobutanoate|2-Oxo-4-methylthiobutanoic acid|4-Methylthio-2-oxobutanoate|4-Methylthio-2-oxobutanoic acid
2m3osuc,MNXM2068,2-methyl-3-oxosuccinate,,
2m6phol,MNXM3160,2-Methyl-6-phytylquinol,C15882,"2-Methyl-6-phytyl-1,4-benzoquinol|2-Methyl-6-phytyl-1,4-hydroquinone|2-Methyl-6-phytylbenzene-1,4-diol|2-Methyl-6-phytylquinol"
2maacoa,MNXM524,2-Methyl-3-acetoacetyl-CoA,C03344,2-Methyl-3-acetoacetyl-CoA|2-Methylacetoacetyl-CoA
2mahmp,MNXM1135,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C04752,4-Amino-2-methyl-5-(diphosphooxymethyl)pyrimidine|4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate
2mb2coa,MNXM609,Trans-2-Methylbut-2-enoyl-CoA,C03345,(E)-2-Methylcrotonoyl-CoA|2-Methylbut-2-enoyl-CoA|2-Methylcrotanoyl-CoA|Methylcrotonoyl-CoA|Methylcrotonyl-CoA|Tigloyl-CoA|Tiglyl-CoA|trans-2-Methylbut-2-enoyl-CoA
2mbac,MNXM35277,2 methylbutyl acetate,,
2mbald,MNXM2604,2 methylbutyraldehyde,C02223,2-Methylbutanal|2-Methylbutyraldehyde
2mbcoa,MNXM569,2-Methylbutanoyl-CoA,C01033,2-Methylbutanoyl-CoA|2-Methylbutyryl-CoA
2mbdhl,MNXM9096,S-(2-Methylbutanoyl)-dihydrolipoamide,C05118,S-(2-Methylbutanoyl)-dihydrolipoamide
2mbtoh,MNXM5476,2 methyl 1 butanol,,
